mean_magnitude,std_magnitude,max_magnitude,mean_phase,std_phase,energy,range_peak,range_mean,range_std,doppler_mean,doppler_std,peak_power,median_magnitude,percentile_25,percentile_75,signal_entropy,zero_crossings,rms_value,peak_to_avg_ratio,kurtosis_value,doppler_centroid,doppler_bandwidth,doppler_symmetry,num_doppler_peaks,range_entropy,trunk_limb_ratio,cadence_period,cadence_strength,inst_freq_std,snr_db
0.000410,0.000214,0.001400,-0.120046,1.849290,0.001068,298.000000,0.028303,0.014597,0.000174,2.385503,0.075033,0.000386,0.000246,0.000543,12.088487,1057.500000,0.000462,3.418384,3.400644,2059.134648,1184.468112,1.014372,0.000000,8.335908,0.052562,39.000000,0.041271,1.501088,12.574666
0.000402,0.000210,0.001215,0.143052,1.834730,0.001027,361.000000,0.027379,0.014722,0.000000,2.378832,0.076660,0.000377,0.000246,0.000534,12.084860,1021.000000,0.000453,3.027059,3.016690,2057.072695,1177.281513,1.012189,0.000000,8.328713,0.053723,18.000000,0.052329,1.501783,13.013160
0.000402,0.000206,0.001338,0.131705,1.831634,0.001019,164.000000,0.029244,0.015506,-0.000179,2.388659,0.085758,0.000377,0.000246,0.000533,12.092497,1090.500000,0.000452,3.330460,3.199977,2030.114440,1188.537151,1.019168,0.000000,8.338131,0.054224,61.000000,0.028722,1.520553,12.670815
0.000408,0.000211,0.001496,-0.052431,1.853569,0.001054,194.000000,0.030793,0.015298,-0.000737,2.368230,0.075169,0.000384,0.000246,0.000543,12.088709,993.500000,0.000459,3.668758,3.137140,2033.700247,1192.173424,1.017810,0.000000,8.356592,0.058334,47.000000,0.038762,1.465077,12.829149
0.000404,0.000212,0.002098,-0.016266,1.811975,0.001039,283.000000,0.030412,0.015972,-0.000405,2.324580,0.082642,0.000375,0.000246,0.000534,12.085872,1084.000000,0.000456,5.196629,3.846405,2054.237077,1193.197755,1.019957,0.000000,8.340784,0.054948,51.000000,0.033026,1.524684,13.079656
0.000401,0.000207,0.001189,0.009860,1.873323,0.001017,268.000000,0.029012,0.015266,0.000039,2.416125,0.083325,0.000377,0.000246,0.000533,12.088759,1097.500000,0.000451,2.967793,3.004673,2028.575233,1185.670087,0.983373,0.000000,8.342667,0.054158,15.000000,0.027007,1.525614,12.953039
0.000404,0.000206,0.001245,-0.082733,1.809717,0.001031,9.000000,0.028521,0.014735,-0.000538,2.338029,0.074834,0.000377,0.000252,0.000533,12.096475,1066.000000,0.000454,3.078334,3.163112,2043.239003,1180.621424,0.987506,0.000000,8.348922,0.055453,61.000000,0.018866,1.499454,12.376336
0.000589,0.000448,0.002675,0.075360,1.849152,0.002741,345.000000,0.039384,0.020820,0.000197,2.529600,0.106380,0.000458,0.000281,0.000723,11.925149,1309.500000,0.000740,4.538652,4.867462,2036.017824,1151.757872,0.976096,0.000000,8.337769,0.041309,142.000000,0.454793,1.827947,15.877485
0.000403,0.000211,0.001463,0.075768,1.772756,0.001034,286.000000,0.029504,0.015786,0.000416,2.289293,0.080421,0.000382,0.000246,0.000527,12.085929,1081.000000,0.000455,3.629537,3.284600,2056.732247,1198.335472,1.006563,0.000000,8.332385,0.053358,74.000000,0.038720,1.502235,12.977186
0.000408,0.000211,0.001293,-0.023859,1.902433,0.001054,166.000000,0.029233,0.015130,-0.000824,2.408600,0.082755,0.000377,0.000246,0.000541,12.089709,1080.500000,0.000459,3.172978,3.065044,2039.328834,1178.265900,1.000638,0.000000,8.345012,0.051289,92.000000,0.029971,1.498337,12.747675
0.000403,0.000211,0.001347,0.016311,1.774692,0.001035,38.000000,0.029082,0.014892,-0.000123,2.268841,0.087843,0.000377,0.000246,0.000534,12.086845,1053.000000,0.000455,3.343341,3.193210,2037.547317,1185.576174,0.990786,0.000000,8.355332,0.055790,56.000000,0.025583,1.500542,12.609185
0.000410,0.000211,0.001450,0.123515,1.902326,0.001063,214.000000,0.028591,0.015052,-0.000536,2.455286,0.093756,0.000388,0.000246,0.000540,12.093860,966.000000,0.000461,3.537587,3.309228,2074.905298,1186.779904,1.001670,0.000000,8.346394,0.051673,37.000000,0.049526,1.483013,12.366056
0.000254,0.000279,0.001518,0.022095,1.296996,0.000711,143.000000,0.024898,0.012809,0.000073,1.838161,0.072805,0.000193,0.000000,0.000454,11.302053,747.000000,0.000377,5.974711,2.977828,2018.291927,1182.637417,0.989048,0.000000,8.348428,0.058898,0.000000,0.000000,1.348667,31.531232
0.000426,0.000243,0.002200,0.068500,1.810356,0.001204,274.000000,0.031967,0.016482,0.000108,2.360815,0.100461,0.000398,0.000246,0.000557,12.060183,1097.500000,0.000491,5.163038,6.074950,2051.723152,1203.873744,0.919680,0.000000,8.349990,0.057329,46.000000,0.116033,1.536972,13.639556
0.000410,0.000216,0.001311,0.021805,1.767114,0.001073,140.000000,0.028639,0.014613,-0.000740,2.275335,0.081721,0.000382,0.000246,0.000550,12.084340,1034.500000,0.000463,3.195839,3.189721,2041.050506,1176.088268,0.996969,0.000000,8.352863,0.055502,32.000000,0.046750,1.474254,12.944626
0.000403,0.000212,0.001257,-0.004137,1.894054,0.001037,67.000000,0.027862,0.013991,0.000543,2.458771,0.078121,0.000373,0.000244,0.000534,12.085179,1064.500000,0.000455,3.117046,3.071636,2074.696237,1181.840541,0.986445,0.000000,8.357176,0.054871,20.000000,0.044464,1.542397,12.886008
0.000414,0.000222,0.001407,0.329882,1.822623,0.001102,22.000000,0.029876,0.014405,-0.000802,2.404762,0.082940,0.000386,0.000246,0.000550,12.077052,1040.500000,0.000469,3.402214,3.356839,2066.042613,1184.257811,0.991196,0.000000,8.374016,0.053631,30.000000,0.053597,1.553504,13.254741
0.000412,0.000220,0.001473,0.002647,1.896982,0.001090,348.000000,0.027429,0.014855,-0.000720,2.488094,0.075629,0.000382,0.000246,0.000550,12.079174,1109.000000,0.000467,3.574290,3.179601,2077.009943,1172.944356,0.992710,0.000000,8.331397,0.050094,41.000000,0.040943,1.550230,13.116447
0.000399,0.000208,0.001313,-0.079988,1.831017,0.001011,109.000000,0.026764,0.013459,-0.000075,2.342095,0.067177,0.000369,0.000246,0.000527,12.089637,1068.500000,0.000450,3.292093,3.238912,2052.724219,1170.290474,0.999097,0.000000,8.353283,0.052693,66.000000,0.030377,1.500042,12.443377
0.000398,0.000207,0.001355,-0.036561,1.892250,0.001006,114.000000,0.028622,0.015388,-0.000481,2.466678,0.082873,0.000373,0.000244,0.000533,12.088020,1039.500000,0.000448,3.403088,3.153281,2041.185165,1190.019942,0.990241,0.000000,8.334322,0.054922,5.000000,0.054558,1.503000,12.996204
0.000409,0.000213,0.001446,0.176433,1.715043,0.001063,328.000000,0.028510,0.014512,-0.000131,2.196993,0.083016,0.000386,0.000246,0.000550,12.086050,1103.000000,0.000461,3.537311,3.156809,2043.310058,1184.532053,0.980945,0.000000,8.353733,0.056139,40.000000,0.044396,1.490014,13.075658
0.000401,0.000205,0.001347,0.084250,1.898469,0.001014,364.000000,0.027114,0.014592,-0.000579,2.484162,0.073950,0.000373,0.000246,0.000533,12.093876,1052.500000,0.000450,3.362539,3.190271,2073.473771,1194.247998,0.969477,0.000000,8.334705,0.052033,34.000000,0.025382,1.518808,12.593741
